,LABEL,TRACK_START,TRACK_STOP,TRACK_ID,POSITION_X,POSITION_Y,POSITION_T,FRAME
75,Track_0,0.0,202.0,0,67.14684976946333,85.54665168801556,0.0,0
361,Track_2,0.0,328.0,2,95.10841291945432,62.089167670656025,0.0,0
606,Track_7,0.0,74.0,7,110.49092850878928,50.17493743637361,0.0,0
759,Track_9,0.0,169.0,9,130.10593131573944,91.542944327781,0.0,0
879,Track_10,0.0,198.0,10,115.2546643213148,78.7854115208835,0.0,0
1122,Track_15,0.0,157.0,15,119.94288503005723,61.22015286907816,0.0,0
1319,Track_24,0.0,353.0,24,97.02674134266942,78.02172567894492,0.0,0
1629,Track_27,0.0,152.0,27,140.56456740149926,79.37378032504844,0.0,0
1747,Track_28,0.0,215.0,28,111.42304549208184,61.454627668012336,0.0,0
1985,Track_29,0.0,136.0,29,141.64733923995735,51.08615425277472,0.0,0
2003,Track_30,0.0,142.0,30,122.60878919760098,94.1170115676295,0.0,0
2242,Track_33,0.0,371.0,33,75.37736305677313,74.18866430018764,0.0,0
2569,Track_35,0.0,414.0,35,101.997187812096,119.47096651883766,0.0,0
2991,Track_36,0.0,231.0,36,82.96108505762254,92.71743750699571,0.0,0
3224,Track_37,0.0,224.0,37,100.66137292683709,112.97018534742656,0.0,0
3574,Track_38,0.0,359.0,38,77.39157655754508,86.88550177096593,0.0,0
3814,Track_42,0.0,252.0,42,94.57534900777047,118.29987568320482,0.0,0
4074,Track_44,0.0,231.0,44,90.51949346308396,85.43326375113752,0.0,0
4298,Track_47,0.0,499.0,47,126.45566106423679,40.133239107005984,0.0,0
4883,Track_49,0.0,174.0,49,142.7882271574485,86.65110460252562,0.0,0
4998,Track_50,0.0,198.0,50,110.32922957738758,75.74017295650631,0.0,0
5196,Track_51,0.0,256.0,51,130.92875292706339,77.05648466807169,0.0,0
5447,Track_52,0.0,278.0,52,134.78038397094505,85.56246367951454,0.0,0
5715,Track_53,0.0,499.0,53,122.4547477325077,75.83173658043067,0.0,0
6199,Track_55,0.0,193.0,55,126.62563121556873,48.20730116214607,0.0,0
6376,Track_57,0.0,92.0,57,81.91467635432411,61.73081203235925,0.0,0
6489,Track_58,0.0,201.0,58,103.74489859596818,127.94806955484603,0.0,0
6692,Track_63,0.0,214.0,63,90.81235113782557,100.13554861176527,0.0,0
6968,Track_66,0.0,171.0,66,144.5524730213742,74.2807266237048,0.0,0
7141,Track_67,0.0,372.0,67,94.57997588074456,91.19220487148223,0.0,0
7451,Track_71,0.0,386.0,71,117.57587279145083,100.78718024188058,0.0,0
7887,Track_72,0.0,279.0,72,100.7571684383267,55.707844219488756,0.0,0
8149,Track_73,0.0,499.0,73,126.5929666542032,83.04550025245736,0.0,0
8674,Track_74,0.0,144.0,74,110.38239287715034,115.81422630582378,0.0,0
8816,Track_75,0.0,270.0,75,118.95774706503823,45.29327273161134,0.0,0
9090,Track_76,0.0,177.0,76,118.75942645485203,70.61920776252532,0.0,0
9236,Track_78,0.0,232.0,78,97.06153801844933,125.9459863334955,0.0,0
