,TRACK_ID,PEARSON_COEF,P_VALUE,PATH_LINEARITY
24,24,-0.8830516599836953,1.0586113795502776e-117,High positive non-linear
28,28,0.41305737169189893,2.6167782607180444e-10,Low positive linear
30,30,0.7606714745899861,3.0381597368523583e-28,High positive linear
38,38,0.5931736506268663,1.376069934293937e-35,Moderate positive linear
49,49,-0.6246137133464107,2.5418353768668628e-20,Moderate positive non-linear
51,51,-0.523750020788317,1.6604158363432347e-19,Moderate positive non-linear
80,80,0.3270800733486894,6.248138576955662e-14,Low positive linear
82,82,-0.10566200713745504,0.08195220123712944,Negligible corelation
88,88,0.3236472501240946,1.418580020466981e-11,Low positive linear
193,193,-0.8319524899382627,2.1794573139089408e-65,High positive non-linear
217,217,0.5368817633082599,1.3735684664678881e-34,Moderate positive linear
218,218,0.7331198638606122,3.870517875287101e-70,High positive linear
226,226,0.0444851708672438,0.6017433737137053,Negligible corelation
290,290,0.8162555303878889,3.3893276135428225e-106,High positive linear
301,301,-0.8050283147526205,1.8090563874661677e-100,High positive non-linear
359,359,0.7034059470227562,6.146983196751818e-39,High positive linear
576,576,0.9666167138140103,4.0861153969382564e-145,Linear
755,755,0.8933774021670495,6.534613603483936e-114,High positive linear
907,907,-0.1094296528533838,0.09635705542832916,Negligible corelation
957,957,0.087755027410359,0.15195446309823735,Negligible corelation
