,Euclidean_distance,DTW_distance,kmeans_clusters,hierarchical_clusters
Track_865,312.8738932670847,428.2481550088307,1,1
Track_3118,43.05861223864304,47.21276706973225,1,1
Track_86,488.640557589761,404.4483617973467,1,1
Track_2647,106.14208843190315,81.87847883801767,0,0
Track_1056,147.39437241262522,134.03431030906125,1,1
Track_1201,275.39037526122615,189.00700267897682,1,1
Track_2477,160.3951203376322,162.2088592202497,1,1
Track_1694,120.32573722162017,96.24298288485701,1,1
Track_1659,237.49996032886958,219.7072530678086,1,1
Track_41,325.4489928611391,327.731190649018,1,1
Track_1276,397.2989240702393,347.43485649142815,1,1
Track_272,334.7720636636974,291.391171837372,1,1
Track_1476,117.02548596879232,123.35762144168096,1,1
Track_925,762.6501823184278,759.7388276283377,0,0
Track_2338,363.37975337123146,501.04026386961584,1,1
Track_76,176.51926246279714,109.51313994633598,1,1
Track_768,506.3072812520816,573.0142127639764,1,1
Track_31,263.9830931241834,295.1886527787548,0,0
Track_1161,418.63345424002046,364.0638557914441,1,1
Track_299,1035.6864016607826,475.10791768283553,1,1
Track_0,478.1329265246429,383.94664979963767,1,1
Track_122,735.9010216169418,1072.7650046843771,1,1
Track_2235,95.68478626295165,110.06680959646766,1,1
Track_1835,265.96275037293816,180.26916490876633,1,1
Track_1522,216.7624175683948,186.0563798963976,1,1
Track_112,875.1048431755995,1064.7464938492762,1,1
Track_563,279.82521582778014,426.44272840177433,0,0
Track_124,318.610953290685,274.58484140818837,1,1
Track_11,107.32436198304664,129.12620450154088,1,1
Track_1567,91.08594146824264,71.48274578253152,0,0
Track_2003,548.7982081539627,410.5067014897353,1,1
Track_1184,862.5917328922008,844.2810758952364,1,1
Track_646,354.79957024053755,419.8419159482912,1,1
Track_2288,276.59270559561907,263.0621302801057,1,1
Track_1954,168.0483589640382,119.2132153024224,1,1
Track_1,605.0156697787822,539.4818872765435,1,1
Track_2499,65.15246243418753,76.8625959597877,1,1
Track_300,460.772681720683,379.8922763425028,0,0
Track_24,1062.3569882522106,1576.4165506385539,1,1
Track_1147,434.7358824773256,197.9719712674183,1,1
Track_78,1163.3418728873746,805.9018752518851,0,0
Track_1957,174.39397197700802,198.58899254863078,1,1
Track_22,615.0406934358101,783.305579022934,1,1
Track_1450,502.09937374418433,368.20486711376066,1,1
Track_1568,312.70887772010764,254.99697175733868,0,0
Track_2310,126.71920028260962,118.12697260389065,1,1
Track_9,622.1762156400895,778.5520307631283,1,1
Track_713,109.58978164222958,121.99398582048745,1,1
Track_2646,46.508146121246845,41.423643468711205,1,1
Track_926,95.11492495727009,128.92056249815704,0,0
Track_3008,72.94826458002746,64.46467286446227,1,1
Track_3221,48.266078877096184,62.461861497622714,1,1
Track_1963,372.1052838744104,352.43246567990616,1,1
Track_1440,74.25921526042626,89.38110785750128,1,1
Track_2340,105.8300661337655,75.56443102439617,1,1
Track_108,916.5761097993808,598.5297486503159,0,0
Track_2667,71.43161498522046,83.25635879195622,0,0
Track_1640,119.79298298848491,106.58657715220812,1,1
Track_2750,62.19556222418637,67.17495875898858,1,1
Track_6,413.5300900818517,279.45943720485593,1,1
Track_3074,75.7207481338605,78.2960525746136,1,1
Track_2123,74.97433632286307,44.718882369469625,1,1
Track_56,156.28598283928292,184.6526174005719,1,1
Track_1606,472.4167262552158,478.85826073665845,1,1
Track_1400,676.5085096198036,759.3137399191653,1,1
Track_2683,157.11117108418463,195.03308661629552,1,1
Track_2000,467.2141199307693,218.87967384987826,0,0
Track_81,391.2241748550215,490.2258977083132,1,1
Track_1674,396.3218578423935,195.67318435656207,0,0
Track_1286,192.27861220970573,223.72513851265046,1,1
Track_2524,202.82083989586857,258.6644080401712,0,0
Track_181,214.21037147423536,110.15714400998914,0,0
Track_660,266.50279750757863,223.24699958449781,1,1
Track_73,818.0640506095011,639.5760187202585,1,1
Track_167,302.5909561011272,289.83858804428155,1,1
Track_2561,316.0800738674198,238.1288533706259,0,0
Track_913,102.44996618535934,130.2965404058017,1,1
Track_77,831.7898889754582,699.5080274979229,1,1
Track_2020,149.42559128679102,83.20273453640957,1,1
Track_1067,970.0863463446562,649.5120211600846,0,0
Track_92,1923.5366925391959,1613.3673274268913,1,1
Track_684,128.55950421310416,130.27454639564866,1,1
Track_29,141.86551006663007,170.4496821243628,1,1
Track_1057,438.021198566988,609.9859822692135,1,1
Track_2120,284.54738960633296,236.6925096589065,1,1
Track_145,318.4719257303025,255.00457420156224,1,1
Track_2541,68.7542161507455,86.43251400566109,1,1
Track_1812,76.70279030308747,62.56969617505828,1,1
Track_528,114.17441865359312,112.40046034901108,1,1
Track_48,541.4707673887534,381.5970813585648,0,0
Track_406,162.23618736977218,88.89997340639518,0,0
Track_722,109.63732928459426,109.68977796580094,1,1
Track_64,387.03562428579676,203.2584340172727,1,1
Track_2650,288.9976718397078,372.46330412327006,1,1
Track_1171,134.08114954090286,104.34894882558764,1,1
Track_1984,679.782568458197,453.60178906641573,0,0
Track_7,548.2314204339801,325.1441344875953,1,1
Track_2420,128.91485473054732,98.68635340908034,1,1
Track_4,168.05817579174456,87.81064258212179,0,0
Track_33,433.284001982405,460.67013648544645,1,1
Track_1368,463.5034231329654,522.1825455987632,1,1
Track_1702,194.0592754471264,139.3256804915497,1,1
Track_190,1832.6109156349298,1716.7564403177075,1,1
Track_2454,201.97417677050856,188.22433588739415,1,1
Track_2337,557.1226069693879,619.0807741556738,1,1
Track_505,187.32302716266972,181.20682646608995,1,1
Track_49,867.1565213428712,1138.2184957698764,1,1
Track_1313,189.39507690303225,148.8087997364181,1,1
Track_1236,1289.1038892212214,1081.204995379314,0,0
Track_1321,489.7854887048442,530.1758023177093,1,1
Track_1695,158.41856761186162,94.10964211386725,1,1
Track_1905,293.37124497950884,335.74447590031934,1,1
Track_2743,47.92739411337447,49.75799582863465,1,1
Track_121,182.38683331649042,182.6662703194108,0,0
Track_2099,82.42531925122347,88.23440135061533,1,1
Track_2797,187.3825275984064,155.32686688350103,0,0
Track_1367,192.90885667656713,195.12595815158176,1,1
Track_1947,44.99068109951645,38.73000181096946,1,1
Track_2320,77.39543691865018,94.4831427540356,1,1
Track_306,343.00355703000275,376.83015503752847,1,1
Track_2687,103.03491024280056,118.57931557504011,1,1
Track_622,866.9565544628598,859.8301691145473,1,1
Track_1943,888.9677803165011,976.2535349414325,1,1
Track_2883,54.701544020845546,53.96369996587895,1,1
Track_1242,498.6903979234953,664.0754248216629,1,1
Track_2583,42.92739912046058,44.18961943574451,0,0
Track_351,454.84212679650034,225.0200718113247,0,0
Track_20,1194.247582384903,1621.177400177763,1,1
Track_160,113.67941721494971,119.45421600818791,1,1
Track_2355,118.89999231799767,129.71401410117187,1,1
Track_98,76.57451793455564,76.58000885024077,1,1
Track_43,143.586858483656,165.07121444261705,1,1
Track_1774,128.55546578855922,91.21752127022727,1,1
Track_161,707.5976457680074,381.07592192098906,1,1
Track_1089,804.7341979680447,402.8280213586495,1,1
Track_2307,721.3702879946744,755.5254083651206,0,0
Track_381,236.00572778451144,237.85595405524552,1,1
Track_2341,137.79267513155835,177.60679120476001,1,1
Track_449,659.0518282352434,588.0363181580877,1,1
Track_129,366.26771199543043,286.18476511977167,0,0
Track_284,139.3308313351087,111.78711564953751,1,1
Track_2255,105.14447705515222,105.39911893869798,1,1
Track_276,477.22817299462696,515.0030886201794,1,1
Track_2090,435.45379337998094,611.2637935407216,1,1
Track_571,942.5241898506193,1136.2471530303733,1,1
Track_584,280.78036892989326,362.98384007220915,0,0
Track_2418,158.97130345410338,150.79710871180615,1,1
Track_26,219.52406600766753,233.56525754271246,0,0
Track_2117,224.6636475489559,235.2450854565942,1,1
Track_2049,138.6673722763255,140.70156171178496,1,1
Track_2544,249.814731663221,369.27670884200876,1,1
Track_676,130.70763354951657,148.1104613530471,1,1
Track_3318,43.185145531713594,44.27138553613204,1,1
Track_837,707.4008966388903,390.4462776640363,1,1
Track_198,114.7545898813375,114.07183144177525,1,1
Track_2243,374.65037102598103,546.9491819623784,1,1
Track_3066,100.48146867949163,86.25245198056543,1,1
Track_2104,96.96142020286791,100.39983675988165,1,1
Track_2113,168.01468798730008,198.7500163468029,0,0
Track_1935,124.09980852935232,146.3520379179968,1,1
Track_772,671.3740013541292,751.3151910239537,1,1
Track_2682,193.9779101567913,251.85850535533967,1,1
Track_1512,594.281628546601,653.497146911681,1,1
Track_359,118.10337468697972,144.38288360846806,1,1
Track_15,997.4860923459073,1125.6598809395127,0,1
Track_166,203.7626003875651,145.00690565749937,0,0
Track_2649,124.14065742772901,127.52772355187508,1,1
Track_1592,140.1923121342027,151.2258067664386,1,1
Track_67,61.86405653544582,67.62860343908898,1,1
Track_958,1291.529700403491,390.5846174630216,0,0
Track_2856,156.6197513892599,132.31335266746854,1,1
Track_3283,36.13524051111185,39.31423738081394,1,1
Track_96,296.10622406719284,262.7949153018936,1,1
Track_119,306.85199289602434,307.579541108147,1,1
Track_1838,388.48696595240034,510.03631083384,0,0
Track_2688,130.35070618635098,148.29592261231562,1,1
Track_659,753.61280811243,881.9661599786423,1,1
Track_425,138.9134967117632,122.3303512697223,0,0
Track_1914,811.3512574927986,627.6014843385226,0,0
Track_1022,67.63340527988598,49.703952672409976,1,1
Track_1811,350.5947928510303,454.90394663569026,1,1
Track_2313,126.88171796141513,113.1876107876908,1,1
Track_731,219.95785508444172,341.45810859884125,0,0
Track_35,688.4322681450105,601.1713793045742,1,1
Track_930,986.7113110933066,665.7653985698415,1,1
Track_1472,75.49608338930567,74.67644911772368,1,1
Track_2139,52.6157081833426,55.552724703073885,1,1
Track_44,154.3411909855675,183.00661585493802,0,0
Track_786,282.4213469741214,296.7570787274246,0,0
Track_1784,607.3056698269119,832.1178308298936,0,0
Track_142,333.8481078589854,302.1864287127367,0,0
Track_109,444.1094262361132,609.2563477137402,1,1
Track_14,221.8034953594751,205.59717611912507,1,1
Track_805,742.9195881049063,688.991100153263,1,1
Track_2617,77.72562898180344,90.532111690222,1,1
Track_1680,849.4868387654586,690.629313877389,0,0
Track_107,908.8309046104811,1006.2003087227872,1,1
