,TRACK_ID,PEARSON_COEF,P_VALUE,PATH_LINEARITY
14,14,-0.44545628166715145,9.789277888933502e-14,Low positive non-linear
33,33,-0.021869725876748333,0.7961481201162324,Negligible corelation
56,56,-0.09979928529616258,0.16730989409394903,Negligible corelation
119,119,-0.46235062066208177,1.0674377712068124e-14,Low positive non-linear
145,145,-0.06153972889378969,0.34656953000268953,Negligible corelation
167,167,-0.22904234650272332,7.60440960853911e-05,Negligible corelation
272,272,-0.055723416790967845,0.48961274944785904,Negligible corelation
284,284,-0.5533517289698374,2.4935486483993805e-10,Moderate positive non-linear
359,359,-0.4786685868372864,3.890136307687919e-10,Low positive non-linear
406,406,-0.43285700452240716,2.4229918918499476e-07,Low positive non-linear
646,646,-0.6094782331285222,3.7136371686680824e-18,Moderate positive non-linear
684,684,0.5443616886223379,3.0122698416027455e-12,Moderate positive linear
713,713,0.8249221977318606,1.750690185091276e-42,High positive linear
913,913,-0.1876383118977729,0.036900436563195596,Negligible corelation
926,926,0.5079932257076087,9.32530074367348e-08,Moderate positive linear
1022,1022,-0.6925681093975891,1.892172797940945e-19,Moderate positive non-linear
1056,1056,-0.4577613414795788,4.918500098652153e-08,Low positive non-linear
1147,1147,-0.8380312249048433,1.0358631498117122e-81,High positive non-linear
1276,1276,-0.5756237737897634,2.429560095526111e-27,Moderate positive non-linear
1440,1440,0.395037228270788,1.2476493000739764e-05,Low positive linear
1472,1472,0.26853167869078637,0.0069056181370124245,Negligible corelation
1567,1567,-0.7286482292158643,3.9501672061044244e-18,High positive non-linear
1592,1592,-0.5199481400054026,8.728711528036967e-19,Moderate positive non-linear
1640,1640,-0.19616398404209318,0.014116847325264272,Negligible corelation
1774,1774,0.6645726436342188,2.407679668136574e-26,Moderate positive linear
1784,1784,-0.6970992444984354,1.4538633233296908e-46,Moderate positive non-linear
1812,1812,0.22846284189930305,0.016875222765014835,Negligible corelation
1835,1835,-0.6195181518198575,2.1215278475940963e-33,Moderate positive non-linear
1947,1947,0.9076598401142913,1.4851794413732173e-45,Linear
1957,1957,-0.49587463017189404,1.0973991619079466e-11,Low positive non-linear
2020,2020,0.3745047979920956,4.873252458538916e-07,Low positive linear
2049,2049,-0.6667355311019016,1.4460815071582336e-18,Moderate positive non-linear
2099,2099,0.12223014306764131,0.0786105328465267,Negligible corelation
2104,2104,-0.41590632496670277,1.4788606873620563e-09,Low positive non-linear
2123,2123,0.5783533361328136,1.2800560224425652e-10,Moderate positive linear
2139,2139,0.37391507485673725,9.521452740989098e-07,Low positive linear
2235,2235,-0.09393092862698066,0.2821873315100886,Negligible corelation
2255,2255,-0.40201880998063566,2.2203699515297117e-08,Low positive non-linear
2288,2288,-0.4110199401962835,5.938569838824229e-11,Low positive non-linear
2310,2310,-0.35977355823129237,7.087676497769193e-06,Low positive non-linear
2313,2313,0.8753760349478521,6.462185036761425e-74,High positive linear
2340,2340,0.1898175151445876,0.026307740151593,Negligible corelation
2355,2355,-0.6059781069804137,7.627723499312002e-24,Moderate positive non-linear
2420,2420,0.21741104157967578,0.006069241328223234,Negligible corelation
2477,2477,-0.25259671268984707,0.00024931407836913973,Negligible corelation
2499,2499,-0.25439952617467226,0.0013034834024107668,Negligible corelation
2583,2583,-0.4064285297715894,0.0004365309511258494,Low positive non-linear
2646,2646,-0.5787161025625334,8.162504850919533e-11,Moderate positive non-linear
2682,2682,-0.6206999111742761,8.260229150214372e-17,Moderate positive non-linear
2683,2683,-0.7325500727627441,7.0771582116705406e-31,High positive non-linear
2687,2687,-0.35911840971953224,9.85224423438018e-07,Low positive non-linear
2688,2688,0.5646746083808354,3.279670439911085e-16,Moderate positive linear
2743,2743,0.24370947430888149,0.014548951145313528,Negligible corelation
2750,2750,0.5081861863832358,1.2438974144019372e-09,Moderate positive linear
2797,2797,0.1156451205761316,0.25189417815738724,Negligible corelation
3008,3008,0.622803642857306,1.982100145920696e-15,Moderate positive linear
3066,3066,-0.6771946614627928,7.999721382309557e-18,Moderate positive non-linear
3074,3074,0.4369487777534075,5.421244543575564e-07,Low positive linear
3118,3118,-0.22223526812247016,0.015575127543410255,Negligible corelation
3221,3221,-0.812184692947928,2.5415123795859835e-26,High positive non-linear
3283,3283,0.23997920652961258,0.017308741379317975,Negligible corelation
3318,3318,-0.36728798706670696,0.0002710714287287963,Low positive non-linear
