,TRACK_ID,PEARSON_COEF,P_VALUE,PATH_LINEARITY
0,0,-0.9064416744970327,1.4817127387039962e-188,
1,1,-0.6804010429459015,1.5224142005063747e-63,Moderate positive non-linear
6,6,-0.13430259605621592,0.027343109817112913,Negligible corelation
7,7,-0.9480206253042924,3.7041359574047075e-168,Negligible corelation
9,9,-0.6519907542445597,7.545695665851941e-62,Moderate positive non-linear
11,11,-0.803791043202561,2.4632085515647723e-53,High positive non-linear
14,14,-0.44545628166715145,9.789277888933502e-14,Low positive non-linear
22,22,0.6951380663389355,2.108012187453711e-73,Moderate positive linear
24,24,0.31517335315760375,5.412013865923685e-13,Low positive linear
29,29,-0.2984302479077421,0.00013301419187460804,Negligible corelation
33,33,-0.021869725876748333,0.7961481201162324,Negligible corelation
35,35,-0.6215627597251929,8.13748150106127e-54,Moderate positive non-linear
41,41,0.6732632896781501,3.988365450647347e-32,Moderate positive linear
43,43,0.639825108275651,6.464676208753661e-32,Moderate positive linear
49,49,-0.06043967479866828,0.17723310756359484,Negligible corelation
56,56,-0.09979928529616258,0.16730989409394903,Negligible corelation
64,64,0.9744442355898437,3.9180527508221844e-177,Linear
73,73,-0.47315440828699223,2.9384409980225914e-29,Low positive non-linear
76,76,-0.17218534690110476,0.014271513117688766,Negligible corelation
77,77,0.5171924050070272,8.292317853065237e-32,Moderate positive linear
81,81,-0.08793970123949922,0.1488017040283519,Negligible corelation
86,86,-0.41849043137610115,1.8500118223163326e-17,Low positive non-linear
92,92,0.8798897539697726,4.817514933371342e-163,High positive linear
96,96,-0.23903515590044266,0.0005067117931388672,Negligible corelation
98,98,-0.5817294835360309,5.871083583783426e-20,Moderate positive non-linear
107,107,-0.46387932329249515,4.794911352365439e-28,Low positive non-linear
109,109,-0.6759283184030255,5.1453415315500505e-68,Moderate positive non-linear
112,112,-0.26370332348952763,2.96588726276433e-07,Negligible corelation
119,119,-0.46235062066208177,1.0674377712068124e-14,Low positive non-linear
122,122,-0.1780347858259199,6.253396879632369e-05,Negligible corelation
124,124,-0.7709252878871536,1.8299845728294634e-52,High positive non-linear
145,145,-0.06153972889378969,0.34656953000268953,Negligible corelation
160,160,0.15529417654273675,0.05526650006276653,Negligible corelation
161,161,-0.8594652349529005,1.0307435487902434e-122,High positive non-linear
167,167,-0.22904234650272332,7.60440960853911e-05,Negligible corelation
190,190,0.595655177245209,2.4523880040657493e-49,Moderate positive linear
198,198,0.6483162751210039,5.992557575736229e-26,Moderate positive linear
272,272,-0.055723416790967845,0.48961274944785904,Negligible corelation
276,276,0.7089245467020905,3.557967215785964e-62,High positive linear
284,284,-0.5533517289698374,2.4935486483993805e-10,Moderate positive non-linear
359,359,-0.4786685868372864,3.890136307687919e-10,Low positive non-linear
381,381,-0.698635894021585,9.82822591693151e-36,Moderate positive non-linear
449,449,0.30835256800587396,5.206509852314143e-12,Low positive linear
505,505,0.10442574714019862,0.12870410270619323,Negligible corelation
528,528,0.5878937653421852,1.9285673910461051e-13,Moderate positive linear
571,571,0.733836114549741,6.1166971382904365e-80,High positive linear
622,622,-0.42896311158012224,5.692316270616868e-22,Low positive non-linear
646,646,-0.6094782331285222,3.7136371686680824e-18,Moderate positive non-linear
659,659,-0.027125947830961644,0.6271711319394686,Negligible corelation
660,660,0.016503470167632615,0.8111910843306727,Negligible corelation
676,676,-0.8907402726622387,1.3154813815125037e-54,High positive non-linear
684,684,0.5443616886223379,3.0122698416027455e-12,Moderate positive linear
713,713,0.8249221977318606,1.750690185091276e-42,High positive linear
722,722,0.14778210087057597,0.038726680530558284,Negligible corelation
768,768,-0.7620544667526659,8.41469514039447e-51,High positive non-linear
772,772,0.43455695775469816,3.840586082021711e-21,Low positive linear
805,805,0.016831919753836872,0.7253751301455281,Negligible corelation
837,837,0.8620347587306497,2.826917551529134e-129,High positive linear
865,865,-0.45289857496581987,3.098329782196839e-17,Low positive non-linear
913,913,-0.1876383118977729,0.036900436563195596,Negligible corelation
930,930,0.8047082939382522,3.7405111695626725e-97,High positive linear
1022,1022,-0.6925681093975891,1.892172797940945e-19,Moderate positive non-linear
