LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,,,,,,,(sec),(sec),(sec),(µm),(µm),(µm),(µm),(µm/sec),(µm/sec),(µm/sec),(µm/sec),(µm/sec),(quality),(µm),(µm),,(µm/sec),,(rad/sec)
Track_0,0,0,500,0,0,0,0,0,499.0,0.0,499.0,8.213077151120347,59.13252346683855,57.85894488005779,0.0,0.2657021746031259,1.4016671135022871,0.003572187595248744,0.21264510811472867,0.21350126655848814,0.8926632046699524,132.58538512695984,8.44296733728864,0.06194556921379945,0.016459072447134963,0.061945569213799456,1.9013434074191793
Track_1,1,1,458,0,0,0,0,0,457.0,0.0,457.0,7.274210532185226,57.28745815639155,127.06180293284125,0.0,0.26132307379404807,1.4125439877600627,0.005535448771384116,0.22530868072652693,0.19756099374882988,0.8574773195529088,119.42464472387992,9.092614533272357,0.06091046407551664,0.015917309698435942,0.06091046407551661,1.9774006013994283
Track_4,4,4,158,0,0,0,0,0,157.0,0.0,157.0,5.6264453720278915,171.0378169692629,138.81906855184704,0.0,0.31871738057336885,1.2498439609667116,0.00455675816843439,0.2895409417969522,0.22526165820927138,0.8788948123213611,50.03862875001884,5.6264453720278915,0.11244203753336812,0.03583723166896746,0.11244203753336797,1.98099441686121
Track_6,6,6,270,0,0,0,0,0,269.0,0.0,269.0,1.7981567060611798,74.069386101753,155.10863967389218,0.0,0.22901363658995572,1.3029838232487394,0.004043275279208397,0.17519368997608759,0.17646426012129265,0.8355501492818197,61.60466824269807,2.160320405447585,0.029188643610207468,0.006684597420301783,0.029188643610207458,1.9968429417660547
Track_7,7,7,336,0,0,0,0,0,335.0,0.0,335.0,5.888566764847789,154.7333795407438,91.17338442096751,0.0,0.2447401341855739,0.8935639012414098,0.007223355694167091,0.2204906654192643,0.16962710308147266,0.8534634558572656,81.98794495216731,6.055341638636267,0.07182234861824192,0.017577811238351608,0.07182234861824198,1.895685848620033
Track_9,9,9,500,0,0,0,0,0,499.0,0.0,499.0,5.539722555460747,53.22579775279695,65.1227712114262,0.0,0.20938813871577744,0.888283690639052,0.0049856532436448305,0.17575633186014725,0.15298558086462746,0.8772688570022583,104.48468121917288,6.348635483138935,0.05301947128345366,0.011101648407736968,0.053019471283453634,2.0012523183335342
Track_11,11,11,230,0,0,0,0,0,229.0,0.0,229.0,2.4930473736045107,66.77793302377657,62.90011847800249,0.0,0.27538654099133325,1.3564385810636705,0.004425257486641016,0.21610509554954047,0.221575282902398,0.8665717682112818,63.06351788701533,2.7078807875702147,0.03953232323751836,0.010886669753731487,0.03953232323751836,2.073720660653108
