,TRACK_ID,PEARSON_COEF,P_VALUE,PATH_LINEARITY
3,3,0.30116177869307625,0.000449783184880727,Low positive linear
8,8,0.5605816410908504,5.008446961009107e-10,Moderate positive linear
10,10,0.28336014999805476,0.005649086224017852,Negligible corelation
35,35,0.25218779676010145,1.0800918276031612e-08,Negligible corelation
42,42,0.5737833404790286,3.4515031041915783e-28,Moderate positive linear
98,98,-0.1901730107880022,0.017781273648104168,Negligible corelation
106,106,0.48708358588731604,2.605415116731117e-10,Low positive linear
155,155,0.8908012884703266,4.933358140943314e-36,High positive linear
158,158,0.9033061806500512,8.68624980251974e-55,Linear
210,210,0.24966308900521486,0.00595979002725921,Negligible corelation
352,352,0.6894788770295237,3.029216386278994e-16,Moderate positive linear
476,476,0.6059393291814987,3.8188831800181764e-11,Moderate positive linear
1020,1020,0.2863944569989396,0.0027843019431713864,Negligible corelation
1066,1066,-0.3775215387553571,1.0849750252325533e-07,Low positive non-linear
1221,1221,0.7920555151085887,8.727970983990489e-16,High positive linear
1962,1962,0.07330860057993163,0.35237589837698724,Negligible corelation
2168,2168,0.40938878460211614,0.00017944393044278965,Low positive linear
2241,2241,0.7562020252413939,5.013627303574249e-13,High positive linear
2248,2248,-0.4032796471329186,3.179692731223114e-05,Low positive non-linear
2375,2375,-0.7242159057272743,1.4822633035376423e-14,High positive non-linear
2377,2377,0.20272302008259419,0.07903817791082482,Negligible corelation
2653,2653,0.5614812039531234,1.0396860202876577e-08,Moderate positive linear
2682,2682,0.9072919262682114,3.506118310389983e-29,Linear
2751,2751,-0.13331811446029632,0.21560890193940835,Negligible corelation
2812,2812,-0.17040508396574744,0.0034354351951582625,Negligible corelation
2924,2924,0.6115332389294319,3.030804171579332e-08,Moderate positive linear
3222,3222,0.5492571126444429,1.431754375151734e-08,Moderate positive linear
3417,3417,0.8742407139109907,7.577179371810188e-79,High positive linear
3679,3679,-0.0177086665498926,0.790280670114686,Negligible corelation
3711,3711,0.8219647982654454,3.2354246618729546e-24,High positive linear
3745,3745,0.1966708177441559,0.1540484317535764,Negligible corelation
3803,3803,0.15053137194602612,0.26812483589435987,Negligible corelation
3863,3863,0.6756006454871256,8.143780516642875e-09,Moderate positive linear
3866,3866,-0.20439272695271843,0.05331169117724673,Negligible corelation
3942,3942,0.7841197187199699,3.8536324648976345e-44,High positive linear
3965,3965,0.6961483753823614,5.7483231739653975e-12,Moderate positive linear
4076,4076,-0.5013951355303012,1.1413815811553067e-05,Moderate positive non-linear
4095,4095,-0.2408922276460833,0.0007881724167953462,Negligible corelation
4097,4097,-0.0345599109852553,0.8003724413069425,Negligible corelation
4160,4160,0.8080171682937013,1.1422400921798741e-34,High positive linear
4207,4207,-0.5718127824734079,4.1873069328092314e-17,Moderate positive non-linear
4243,4243,0.3910680762519615,0.0005708250791001572,Low positive linear
4272,4272,0.8244081154438405,4.02552417902124e-45,High positive linear
4394,4394,0.8598715939260501,9.359547703947274e-50,High positive linear
4396,4396,0.6709597744681841,1.856866402356041e-13,Moderate positive linear
4397,4397,-0.2839574250107609,0.00020931325822162427,Negligible corelation
4467,4467,0.22358684566736658,0.015836938730263445,Negligible corelation
4487,4487,0.05784310688374121,0.47035099411989384,Negligible corelation
4492,4492,0.6466759654460188,2.301368205864126e-11,Moderate positive linear
4518,4518,0.5168364570492839,4.1072342678585605e-07,Moderate positive linear
4646,4646,0.2899075275849785,0.008243814935985173,Negligible corelation
4654,4654,0.0026124157293280492,0.9753848388335106,Negligible corelation
4655,4655,0.6268170578730865,2.9818004006637077e-10,Moderate positive linear
4657,4657,0.028696644426230804,0.7346041960850626,Negligible corelation
4742,4742,0.2868450568770352,0.007066997931369285,Negligible corelation
4795,4795,0.6693785257624494,5.753694831406072e-18,Moderate positive linear
4836,4836,0.5441311327599441,6.503849677477889e-11,Moderate positive linear
4872,4872,0.6455648628684392,1.7197533003133002e-15,Moderate positive linear
4935,4935,0.5863622199348558,7.152616447695055e-12,Moderate positive linear
5009,5009,0.606917437677266,1.0585130702979816e-07,Moderate positive linear
5048,5048,0.4283722468414459,7.071570181871324e-06,Low positive linear
5117,5117,0.023297378984796786,0.8778598961556418,Negligible corelation
5121,5121,0.6580229506102361,5.751656151702529e-13,Moderate positive linear
5148,5148,-0.6589063251407903,7.123716579717045e-12,Moderate positive non-linear
5170,5170,0.5483218998995429,3.534856147843017e-07,Moderate positive linear
5229,5229,0.32549493997955864,0.0030256610127718502,Low positive linear
5241,5241,0.4481379952842004,3.450228847446038e-05,Low positive linear
5253,5253,0.1069664910273693,0.35447985306235186,Negligible corelation
5295,5295,0.8512384264238959,7.547855608723621e-22,High positive linear
5305,5305,-0.24280909358943142,0.03846727328374941,Negligible corelation
5425,5425,0.16323762242489287,0.21268608482134246,Negligible corelation
5436,5436,0.2854665490936599,0.02704085215606267,Negligible corelation
5469,5469,-0.3945372857811567,0.002621540377075122,Low positive non-linear
