,TRACK_ID,PEARSON_COEF,P_VALUE,PATH_LINEARITY
11,11,-0.13031819404360895,0.13791533096591777,Negligible corelation
28,28,0.6141124529879352,4.3909350856781135e-16,Moderate positive linear
35,35,0.25218779676010145,1.0800918276031612e-08,Negligible corelation
42,42,0.5737833404790286,3.4515031041915783e-28,Moderate positive linear
47,47,-0.6653607714327896,2.6915431117201555e-26,Moderate positive non-linear
53,53,0.16465293673712972,0.043353703549898266,Negligible corelation
67,67,-0.2598669476744863,0.0061133030138548015,Negligible corelation
77,77,0.6336436547027953,7.317438835473643e-25,Moderate positive linear
98,98,-0.1901730107880022,0.017781273648104168,Negligible corelation
106,106,0.48708358588731604,2.605415116731117e-10,Low positive linear
135,135,0.7049361497978744,3.9653483657609544e-21,High positive linear
140,140,-0.022072470564675494,0.7950221855177471,Negligible corelation
158,158,0.9033061806500512,8.68624980251974e-55,Linear
446,446,0.03233890569770352,0.7281091891005863,Negligible corelation
476,476,0.6059393291814987,3.8188831800181764e-11,Moderate positive linear
557,557,-0.2966910852916336,6.0740042808532616e-05,Negligible corelation
630,630,0.6113230048118534,1.4247794417271807e-11,Moderate positive linear
657,657,-0.36591919958476427,0.00015550977203157752,Low positive non-linear
730,730,-0.5430253832669206,6.048413595672079e-11,Moderate positive non-linear
897,897,-0.22974463516959875,0.014369043697682087,Negligible corelation
907,907,0.5772988540298718,6.954795696398927e-15,Moderate positive linear
1066,1066,-0.3775215387553571,1.0849750252325533e-07,Low positive non-linear
1544,1544,0.8053475528175746,2.554720792906296e-52,High positive linear
1962,1962,0.07330860057993163,0.35237589837698724,Negligible corelation
2060,2060,0.918945988569672,1.728224503572288e-143,Linear
2304,2304,0.9738448981599037,1.4697831277294187e-114,Linear
2623,2623,0.7406320384096333,8.992261098068892e-26,High positive linear
2812,2812,-0.17040508396574744,0.0034354351951582625,Negligible corelation
3417,3417,0.8742407139109907,7.577179371810188e-79,High positive linear
3679,3679,-0.0177086665498926,0.790280670114686,Negligible corelation
3942,3942,0.7841197187199699,3.8536324648976345e-44,High positive linear
4207,4207,-0.5718127824734079,4.1873069328092314e-17,Moderate positive non-linear
4272,4272,0.8244081154438405,4.02552417902124e-45,High positive linear
4394,4394,0.8598715939260501,9.359547703947274e-50,High positive linear
4397,4397,-0.2839574250107609,0.00020931325822162427,Negligible corelation
4487,4487,0.05784310688374121,0.47035099411989384,Negligible corelation
