,Euclidean_distance,DTW_distance,kmeans_clusters,hierarchical_clusters
Track_3009,530.0761642007247,383.92444935178906,0,0
Track_742,881.6989921245444,1126.3743776661977,0,0
Track_911,149.51760599731148,156.19350226267872,0,0
Track_1320,988.7106361490714,823.3304448749938,0,0
Track_3010,295.61194780587573,135.77680721141306,0,0
Track_1389,2324.063010197998,2494.1068186018333,0,0
Track_1953,352.929662926874,209.33605910613736,0,0
Track_4063,210.71388272090206,176.42371047199342,0,0
Track_3878,82.37380304548611,100.11791482021829,0,0
Track_4636,96.34128271948131,73.3534659561856,0,0
Track_4375,119.70774380918633,96.82469053724125,0,0
Track_1283,184.34389080437145,258.6284723548715,1,0
Track_2361,526.7366926533628,525.9077225061922,0,0
Track_3958,210.00412610152515,279.7786642613209,0,0
Track_31,293.18120875110037,374.5863002252955,1,1
Track_5126,92.41071839521598,67.99549584342391,0,0
Track_82,758.2833568754147,765.692853387256,0,0
Track_2627,520.2962054851256,510.518526354814,0,0
Track_4716,205.7438415538211,193.7947722896924,0,0
Track_2299,495.804852189886,548.0284158915478,0,0
Track_3787,92.54898809787039,118.85646844574578,0,0
Track_142,129.64237073633754,137.46762487084465,0,0
Track_1619,728.0169697912231,685.44387864044,0,0
Track_2704,99.77870545184838,77.48568276358895,0,0
Track_5178,39.59335712245356,37.952935262666834,0,0
Track_4423,169.43246011051124,163.44433852701258,0,0
Track_2253,331.92432766084863,194.59871777168283,0,0
Track_1136,1338.6614603860955,1597.6683678981506,0,0
Track_1894,175.7207743389955,160.1315180228038,0,0
Track_1463,852.6558888306035,541.3016640179998,0,0
Track_2414,212.29133874022764,225.81233070651743,0,0
Track_126,483.67328597901246,640.0564830642983,0,0
Track_2667,548.7437680057852,406.0036373505899,0,0
Track_2776,118.70589614025606,133.28635706762878,0,0
Track_287,134.51497189755048,166.63529163380522,0,0
Track_4815,93.67795463139743,113.20695660872963,0,0
Track_4343,250.13451908514872,358.00348413054144,0,0
Track_2635,1071.6053332559693,1252.9197676830481,0,0
Track_112,191.99690868567615,104.50301216722981,0,0
Track_2410,437.0283599034864,591.8644429830694,0,0
Track_1713,1231.539465365746,706.3334169592423,0,0
Track_1995,541.2135313412142,619.990212106526,0,0
Track_3967,506.78497887032586,557.8143155776986,0,0
Track_1489,341.11037121121973,400.4733032883478,0,0
Track_4003,282.47956023027155,209.92136211289852,0,0
Track_1603,672.5103344221016,984.0727579885764,0,0
Track_2491,838.8308305872732,400.2112284605425,0,0
Track_2019,326.8100290275532,207.07489987024627,1,0
Track_3784,677.3298873008134,644.6736744494763,0,0
Track_2208,839.8681494588916,1163.8545506634466,0,0
Track_842,110.15495270246599,102.8854239668762,0,0
Track_3114,611.1995326067157,636.5093115947908,0,0
Track_3111,411.8923996226811,467.24927985799883,0,0
Track_4219,594.2226363755708,407.48082131023295,0,0
Track_1110,954.224577214038,1090.5867680545493,0,0
Track_3386,164.21741041964876,191.56003949498984,0,0
Track_4344,148.45984836240143,200.39742278687663,0,0
Track_1805,522.2165661539178,557.5956897793934,0,0
Track_2902,238.64383765508083,265.81947923552804,0,0
Track_3926,85.94143953932536,116.23724053604394,0,0
Track_2618,1082.516172610089,628.8930854200544,0,0
Track_3225,110.73081590180732,142.72759328924653,0,0
Track_2289,1382.5865978477295,1082.3624530807372,0,0
Track_34,178.0945212437566,209.2523713386024,0,0
Track_2783,531.4408081623885,713.9635285180962,0,0
Track_119,211.41532985399786,247.29010260119995,0,0
Track_5157,27.743397300560186,32.78247889090698,0,0
Track_2279,1073.0061098670842,338.9840490766995,0,0
Track_2594,396.5855152441935,317.8892248120546,0,0
Track_3220,106.98013621185143,111.41164641949929,0,0
Track_4115,174.35703890510317,213.49469034981263,0,0
Track_4586,153.27690103591948,178.38146805051016,0,0
Track_1282,481.86313943389695,342.01695726767207,0,0
Track_4883,65.53950221176413,59.326629425047734,0,0
Track_25,427.9352746797503,488.8551389190597,0,0
Track_1638,161.7237896241291,130.37524612584605,0,0
Track_3585,293.6862031683672,357.7521978803234,0,0
Track_37,214.5156001484263,131.78941182757652,0,0
Track_3884,166.04501343540989,208.29860395039424,0,0
Track_3966,63.59024394020877,70.8247372647388,0,0
Track_1970,91.565211147717,92.13733076085946,0,0
Track_3557,288.6202029877626,446.4724552176006,0,0
Track_4907,492.5673143923993,345.70648975510306,0,0
Track_4753,121.30584469059855,138.9612014654221,0,0
Track_936,110.7196235466228,125.42922744715956,1,1
Track_3138,294.6837228437505,366.6462828362497,0,0
Track_2038,222.0403163165224,165.6807740711604,0,0
Track_2711,762.9533176416663,927.3308382489204,0,0
Track_1836,304.6715074272758,403.4014447992879,0,0
Track_2302,1356.2626708455452,1202.4501862185748,0,0
Track_2726,79.80345513879064,74.80485666572568,0,0
Track_4100,367.1909197400465,341.6313823243586,0,0
Track_1861,1269.8539026824367,2022.504807102536,0,0
Track_2280,429.06968580862707,229.123694255048,0,0
Track_2975,136.77842419144238,199.99971267884393,0,0
Track_3064,229.11368942340795,240.44668154369393,0,0
Track_1778,342.22177070026146,455.2926987014908,0,0
Track_4131,203.2366522501368,208.22311511912946,0,0
Track_2140,703.7975387581707,933.0437408233902,0,0
Track_3988,154.36844505627738,229.49519644310257,0,0
Track_53,254.309500890746,256.3891966172003,0,0
Track_4253,84.3695643747999,55.156015608745804,0,0
Track_4494,57.67949058897839,65.45559294379994,0,0
Track_3649,62.06921365655926,66.61822416478327,0,0
Track_2631,292.3642176438265,388.9683000572313,0,0
Track_2868,483.8598184831126,676.2550448884297,0,0
Track_3444,413.84237235650494,477.7105276165862,0,0
Track_2668,584.0393452036664,613.5076433969858,0,0
Track_1853,444.12339091741626,536.3221922462384,0,0
Track_17,985.373232420402,661.9546903736924,0,0
Track_3734,159.05484706059144,133.97959841020264,0,0
Track_1737,110.27678269513004,116.62857750268905,0,0
Track_4345,122.71457149817381,125.6528886483567,0,0
Track_4476,99.29813946088508,60.32070114317412,0,0
Track_2798,103.81355066875543,58.72403290665826,0,0
Track_3371,470.8791067739213,416.8392892398401,0,0
Track_3871,165.2610287650358,165.3434732758413,0,0
Track_4436,100.6702286046898,79.44853367834058,0,0
Track_2729,436.8601936354544,449.613936346378,0,0
