,TRACK_ID,PEARSON_COEF,P_VALUE,PATH_LINEARITY
11,11,-0.5383670036827878,6.423462489933632e-39,Moderate positive non-linear
17,17,0.4242240581736606,6.838586882773177e-16,Low positive linear
25,25,0.5223347568959161,2.100314405564258e-28,Moderate positive linear
42,42,0.6338241615796917,3.331580155904858e-24,Moderate positive linear
49,49,-0.6825014131627857,1.2592099834480385e-67,Moderate positive non-linear
57,57,-0.5558286442779337,6.99536090130707e-42,Moderate positive non-linear
82,82,-0.4988085150035727,8.739917392032055e-22,Low positive non-linear
92,92,0.06839860118143322,0.3602411076961261,Negligible corelation
93,93,-0.09023244506918787,0.2004435637860102,Negligible corelation
105,105,0.46968122974803556,3.5514799372822626e-23,Low positive linear
112,112,0.6092294924568044,1.4580129865610412e-14,Moderate positive linear
117,117,-0.12413490581434622,0.009805431652071232,Negligible corelation
126,126,-0.2296772561072044,0.00016684637593162574,Negligible corelation
140,140,-0.4368885939139969,4.954115624902278e-09,Low positive non-linear
157,157,0.7156392555814979,9.555222938032069e-40,High positive linear
163,163,-0.5073602596368849,5.0670031344164696e-18,Moderate positive non-linear
287,287,0.6390682973307791,1.0592988230214999e-15,Moderate positive linear
362,362,0.2631519155112647,0.0001276698061188585,Negligible corelation
470,470,-0.8918332490609978,6.764758623337973e-170,High positive non-linear
639,639,-0.7990547966147388,1.8684018754019948e-107,High positive non-linear
742,742,-0.09166535590337993,0.04654766974354241,Negligible corelation
825,825,-0.6405853444775499,2.8507300284118572e-27,Moderate positive non-linear
842,842,-0.39938282076953263,3.2972266351883154e-06,Low positive non-linear
1023,1023,-0.6178827033668779,9.708476162474461e-45,Moderate positive non-linear
1038,1038,-0.003552295413376254,0.960184296935353,Negligible corelation
1052,1052,0.1427337832242243,0.01665392405579921,Negligible corelation
1110,1110,0.6871097596899718,2.7968291266122923e-64,Moderate positive linear
1136,1136,0.24798773243439157,1.0179058541852366e-07,Negligible corelation
1183,1183,-0.8501897285149549,4.584073225352624e-126,High positive non-linear
1197,1197,-0.930276839560094,8.913834941385178e-122,High positive non-linear
