,TRACK_ID,PEARSON_COEF,P_VALUE,PATH_LINEARITY
31,31,-0.8936321539403931,6.365618634770152e-37,High positive non-linear
34,34,-0.8671491178367927,9.80293493559038e-53,High positive non-linear
37,37,-0.23648326355876428,0.0038071882770257803,Negligible corelation
53,53,0.8386878127551297,1.385798948577119e-35,High positive linear
75,75,-0.8473547719575175,1.0527620330159529e-49,High positive non-linear
92,92,0.06839860118143322,0.3602411076961261,Negligible corelation
93,93,-0.09023244506918787,0.2004435637860102,Negligible corelation
112,112,0.6092294924568044,1.4580129865610412e-14,Moderate positive linear
119,119,0.3119231407231198,0.00032006561166711845,Low positive linear
130,130,-0.36349402328617764,1.5820815949277976e-05,Low positive non-linear
142,142,-0.1720382614581256,0.08537911324092552,Negligible corelation
146,146,0.6978906561002901,1.1900971498074792e-23,Moderate positive linear
160,160,-0.009008899750968961,0.9199288376903999,Negligible corelation
193,193,0.8678896098402697,2.878143360450362e-38,High positive linear
362,362,0.2631519155112647,0.0001276698061188585,Negligible corelation
395,395,-0.9222475064294915,8.090091875762771e-59,Negligible corelation
580,580,0.792465664839136,7.331331800728537e-32,High positive linear
911,911,0.061938724984465544,0.5404132232363998,Negligible corelation
936,936,-0.8979828821814086,1.225892452044467e-35,High positive non-linear
951,951,-0.6478110375170439,4.6521236626704256e-17,Moderate positive non-linear
1282,1282,-0.1135122674054003,0.11695759518709518,Negligible corelation
1283,1283,-0.9010227581612399,1.0297240886548707e-45,Negligible corelation
1483,1483,0.8311943150618699,1.7309272388298466e-79,High positive linear
1489,1489,-0.5605356174382442,1.8764743835418775e-13,Moderate positive non-linear
1617,1617,-0.20328154900147483,0.00362743333870832,Negligible corelation
1778,1778,-0.171259076575642,0.010064076562529056,Negligible corelation
1838,1838,0.06011903507010453,0.548351190646515,Negligible corelation
1953,1953,0.053512527812201754,0.5226555584220153,Negligible corelation
2019,2019,0.8499831865343596,7.156960439152642e-30,High positive linear
2038,2038,0.3804943823939937,3.497826932476932e-05,Low positive linear
2266,2266,-0.8943895952949501,4.047490865908199e-51,High positive non-linear
2280,2280,-0.9580954565033465,3.086451631697393e-88,High positive non-linear
2378,2378,-0.5227393780897318,4.4062848339471203e-14,Moderate positive non-linear
2489,2489,0.21647992498034785,0.0016424474883150666,Negligible corelation
2631,2631,0.01577620080079213,0.8642069659672377,Negligible corelation
2667,2667,-0.13343595699320893,0.07662749949465837,Negligible corelation
3784,3784,0.3850953209037254,6.113223956702846e-10,Low positive linear
3865,3865,-0.9834390548784531,4.843338298870959e-70,Low positive linear
3967,3967,-0.37057486063025535,1.1480839244011774e-08,Low positive non-linear
4219,4219,0.7121330825292111,6.138461660792243e-32,High positive linear
4716,4716,-0.28918630100813614,0.0004390752994591232,Negligible corelation
4907,4907,-0.710749620837467,6.737241864837679e-20,High positive non-linear
