,TRACK_ID,PEARSON_COEF,P_VALUE,PATH_LINEARITY
27,27,0.027970241348965537,0.6927379892400343,Negligible corelation
45,45,0.6609251902172418,6.830934247084346e-16,Moderate positive linear
57,57,-0.3043714547280286,0.002709850635245484,Low positive non-linear
127,127,0.02063767755646139,0.8434882948245674,Negligible corelation
346,346,0.8819912501794522,4.470501107026858e-37,High positive linear
356,356,0.694943644506083,3.707242562897009e-17,Moderate positive linear
497,497,-0.12925339585284848,0.09904172655562872,Negligible corelation
646,646,0.24281341116028277,0.001166021348787033,Negligible corelation
780,780,0.03119819935017626,0.7729252319022784,Negligible corelation
865,865,0.36314859749385336,0.0002763935493760314,Low positive linear
919,919,-0.35972177443283043,0.0001221682157956231,Low positive non-linear
992,992,0.36192760008157077,1.206151774395784e-07,Low positive linear
994,994,0.7526169216145473,1.947710886849602e-24,High positive linear
1066,1066,0.42673713808107355,4.116937874870453e-06,Low positive linear
1157,1157,0.48242991026296994,1.425302817856689e-07,Low positive linear
1177,1177,-0.024984649680959235,0.7795236714520125,Negligible corelation
1398,1398,0.3241385109274927,0.0035659751474698157,Low positive linear
1901,1901,-0.6151840972482712,1.413870374055066e-10,Moderate positive non-linear
1936,1936,0.33969853022559415,1.9794822524516207e-05,Low positive linear
2001,2001,0.5049783025357879,2.1491428042754664e-08,Moderate positive linear
2005,2005,0.7380569340852501,7.916884642486032e-25,High positive linear
2165,2165,0.5459843211257156,2.4492505942127146e-09,Moderate positive linear
2358,2358,0.3114884048054969,0.0001525866652063752,Low positive linear
2380,2380,0.4856639588149678,1.50920355066709e-07,Low positive linear
2499,2499,0.5855950606495686,1.7268397621405412e-12,Moderate positive linear
2542,2542,0.597498206272246,9.873407955062347e-18,Moderate positive linear
2553,2553,0.2171264302129399,0.037617324356721896,Negligible corelation
2580,2580,0.32059456405977227,1.4120512844025822e-06,Low positive linear
2695,2695,-0.37100248642667555,7.726206017156762e-05,Low positive non-linear
3040,3040,0.25426492912869475,0.005462078833288996,Negligible corelation
3184,3184,0.2499485946105316,0.005493649435338611,Negligible corelation
3207,3207,-0.4258236381999415,1.0327455365541776e-07,Low positive non-linear
3233,3233,-0.12281965196056231,0.14826916286155728,Negligible corelation
3237,3237,0.197628911469472,0.018821823493413686,Negligible corelation
3285,3285,-0.22473199463686971,0.016708159000377212,Negligible corelation
3337,3337,-0.14550476874139773,0.12411336826101523,Negligible corelation
3416,3416,-0.4637787010846378,8.442226785594269e-08,Low positive non-linear
3430,3430,-0.6433409331068086,4.015575795426755e-13,Moderate positive non-linear
3477,3477,-0.202521436164753,0.03069902318139935,Negligible corelation
3712,3712,0.7246798601223692,6.793639390384322e-16,High positive linear
