,TRACK_ID,PEARSON_COEF,P_VALUE,PATH_LINEARITY
0,0,0.7823126275921963,3.3977878891413193e-43,High positive linear
2,2,0.8827268412048832,2.7531846472542615e-109,High positive linear
9,9,-0.1724552992956286,0.024523401159024506,Negligible corelation
24,24,-0.8830516599836953,1.0586113795502776e-117,High positive non-linear
36,36,0.46562125626697726,6.937589041875611e-14,Low positive linear
37,37,0.7976836884124019,7.03638036299145e-51,High positive linear
44,44,0.7982925597500409,1.476873931014897e-52,High positive linear
47,47,0.961458590875286,2.081048955052099e-281,Linear
50,50,0.5970260839805283,1.3192221670156128e-20,Moderate positive linear
51,51,-0.523750020788317,1.6604158363432347e-19,Moderate positive non-linear
52,52,0.7833456247777575,3.8485173353418924e-59,High positive linear
53,53,-0.0008616537703385442,0.9846664451186329,Negligible corelation
63,63,-0.8214497240167757,7.389547902027386e-54,High positive non-linear
72,72,0.7945910525375627,3.418041988777928e-62,High positive linear
73,73,0.8581569092552832,2.636224559874058e-146,High positive linear
74,74,0.7217247235436561,1.2994788639062441e-24,High positive linear
75,75,-0.8909480341942718,3.2471591063319324e-94,High positive non-linear
76,76,-0.8377113354066267,4.132414545771724e-48,High positive non-linear
78,78,-0.4889469673361752,2.089433511670075e-15,Low positive non-linear
79,79,-0.9017940209946518,1.1403958644141098e-130,Low positive non-linear
148,148,-0.9038435614794369,8.813754437693813e-111,Low positive non-linear
229,229,-0.9386644651998459,7.667094037744674e-102,Low positive non-linear
275,275,-0.6185059430986147,6.079251171743104e-29,Moderate positive non-linear
505,505,0.01357666392158451,0.817304175477326,Negligible corelation
576,576,0.9666167138140103,4.0861153969382564e-145,Linear
625,625,0.9629697583367129,1.329354992767153e-203,Linear
755,755,0.8933774021670495,6.534613603483936e-114,High positive linear
1019,1019,-0.10204067546914622,0.18811969956451544,Negligible corelation
1324,1324,-0.2201167528109655,0.006988219323677336,Negligible corelation
1327,1327,-0.8289682090270005,1.1345282585350472e-38,High positive non-linear
